Starting program with numThread=90 and maxConcurrent=6
Executing transactions...


20:46:001.786 - [5] Transaction2 : started
20:46:001.789 - [1] Transaction1 : started
20:46:001.789 - [4] Transaction1 : started
20:46:001.789 - [3] Transaction3 : started
20:46:001.789 - [6] Transaction3 : started
20:46:001.787 - [2] Transaction2 : started
20:46:002.120 - [3] Transaction3 : terminated
20:46:002.265 - [6] Transaction3 : terminated
20:46:002.299 - [7] Transaction1 : started
20:46:002.441 - [8] Transaction2 : started
20:46:002.464 - [4] Transaction1 : terminated
20:46:002.465 - [1] Transaction1 : terminated
20:46:002.531 - [9] Transaction3 : started
20:46:002.554 - [10] Transaction1 : started
20:46:002.784 - [7] Transaction1 : terminated
20:46:002.866 - [11] Transaction2 : started
20:46:002.875 - [9] Transaction3 : terminated
20:46:002.944 - [12] Transaction3 : started
20:46:003.244 - [10] Transaction1 : terminated
20:46:003.316 - [12] Transaction3 : terminated
20:46:003.334 - [13] Transaction1 : started
20:46:003.486 - [14] Transaction2 : started
20:46:005.398 - [13] Transaction1 : terminated
20:46:005.499 - [15] Transaction3 : started
20:46:006.659 - [15] Transaction3 : terminated
20:46:007.30 - [16] Transaction1 : started
20:46:009.296 - [5] Transaction2 : terminated
20:46:009.325 - [16] Transaction1 : terminated
20:46:009.362 - [17] Transaction2 : started
20:46:009.364 - [18] Transaction3 : started
20:46:009.794 - [8] Transaction2 : terminated
20:46:009.854 - [19] Transaction1 : started
20:46:010.160 - [18] Transaction3 : terminated
20:46:010.270 - [20] Transaction2 : started
20:46:010.403 - [11] Transaction2 : terminated
20:46:010.418 - [2] Transaction2 : terminated
20:46:010.535 - [21] Transaction3 : started
20:46:010.544 - [22] Transaction1 : started
20:46:010.673 - [14] Transaction2 : terminated
20:46:010.726 - [23] Transaction2 : started
20:46:010.735 - [21] Transaction3 : terminated
20:46:010.751 - [19] Transaction1 : terminated
20:46:010.785 - [24] Transaction3 : started
20:46:010.793 - [25] Transaction1 : started
20:46:010.997 - [24] Transaction3 : terminated
20:46:011.32 - [22] Transaction1 : terminated
20:46:011.44 - [26] Transaction2 : started
20:46:011.77 - [27] Transaction3 : started
20:46:011.323 - [25] Transaction1 : terminated
20:46:011.359 - [28] Transaction1 : started
20:46:011.469 - [27] Transaction3 : terminated
20:46:011.517 - [29] Transaction2 : started
20:46:012.69 - [28] Transaction1 : terminated
20:46:012.99 - [30] Transaction3 : started
20:46:012.404 - [30] Transaction3 : terminated
20:46:012.443 - [31] Transaction1 : started
20:46:012.875 - [31] Transaction1 : terminated
20:46:012.923 - [32] Transaction2 : started
20:46:025.18 - [17] Transaction2 : terminated
20:46:025.555 - [26] Transaction2 : terminated
20:46:025.899 - [33] Transaction3 : started
20:46:025.902 - [34] Transaction1 : started
20:46:026.277 - [33] Transaction3 : terminated
20:46:026.372 - [29] Transaction2 : terminated
20:46:026.424 - [35] Transaction2 : started
20:46:026.431 - [36] Transaction3 : started
20:46:026.634 - [34] Transaction1 : terminated
20:46:026.671 - [37] Transaction1 : started
20:46:026.789 - [36] Transaction3 : terminated
20:46:026.832 - [38] Transaction2 : started
20:46:027.355 - [37] Transaction1 : terminated
20:46:027.400 - [39] Transaction3 : started
20:46:027.805 - [39] Transaction3 : terminated
20:46:027.846 - [40] Transaction1 : started
20:46:028.397 - [40] Transaction1 : terminated
20:46:028.437 - [41] Transaction2 : started
20:46:044.402 - [23] Transaction2 : terminated
20:46:044.719 - [42] Transaction3 : started
20:46:045.193 - [20] Transaction2 : terminated
20:46:045.364 - [43] Transaction1 : started
20:46:045.491 - [42] Transaction3 : terminated
20:46:045.510 - [32] Transaction2 : terminated
20:46:045.555 - [44] Transaction2 : started
20:46:045.834 - [45] Transaction3 : started
20:46:046.277 - [43] Transaction1 : terminated
20:46:046.299 - [46] Transaction1 : started
20:46:046.320 - [45] Transaction3 : terminated
20:46:046.344 - [47] Transaction2 : started
20:46:046.863 - [46] Transaction1 : terminated
20:46:046.907 - [48] Transaction3 : started
20:46:047.261 - [48] Transaction3 : terminated
20:46:047.302 - [49] Transaction1 : started
20:46:047.738 - [49] Transaction1 : terminated
20:46:047.772 - [50] Transaction2 : started
20:46:057.132 - [35] Transaction2 : terminated
20:46:057.224 - [38] Transaction2 : terminated
20:46:057.366 - [52] Transaction1 : started
20:46:057.369 - [51] Transaction3 : started
20:46:058.164 - [51] Transaction3 : terminated
20:46:058.644 - [53] Transaction2 : started
20:46:059.254 - [41] Transaction2 : terminated
20:46:059.290 - [52] Transaction1 : terminated
20:46:059.377 - [54] Transaction3 : started
20:46:059.379 - [55] Transaction1 : started
20:46:059.607 - [50] Transaction2 : terminated
20:46:059.703 - [44] Transaction2 : terminated
20:46:059.728 - [56] Transaction2 : started
20:46:059.744 - [57] Transaction3 : started
20:47:000.145 - [54] Transaction3 : terminated
20:47:000.719 - [58] Transaction1 : started
20:47:000.745 - [57] Transaction3 : terminated
20:47:000.856 - [59] Transaction2 : started
20:47:001.125 - [55] Transaction1 : terminated
20:47:001.191 - [60] Transaction3 : started
20:47:001.322 - [58] Transaction1 : terminated
20:47:001.398 - [61] Transaction1 : started
20:47:001.506 - [60] Transaction3 : terminated
20:47:001.557 - [62] Transaction2 : started
20:47:001.807 - [61] Transaction1 : terminated
20:47:001.854 - [63] Transaction3 : started
20:47:002.200 - [63] Transaction3 : terminated
20:47:002.239 - [64] Transaction1 : started
20:47:002.988 - [64] Transaction1 : terminated
20:47:003.28 - [65] Transaction2 : started
20:47:008.250 - [47] Transaction2 : terminated
20:47:008.752 - [66] Transaction3 : started
20:47:009.392 - [53] Transaction2 : terminated
20:47:009.420 - [66] Transaction3 : terminated
20:47:009.539 - [68] Transaction2 : started
20:47:009.565 - [67] Transaction1 : started
20:47:011.140 - [67] Transaction1 : terminated
20:47:011.512 - [69] Transaction3 : started
20:47:011.524 - [56] Transaction2 : terminated
20:47:012.137 - [70] Transaction1 : started
20:47:012.372 - [62] Transaction2 : terminated
